component,operation,median_latency_ms,mean_latency_ms,std_latency_ms,key_size_bytes,fixed_overhead_bytes
AES-256-GCM,Key generation,0.0034999684430658817,0.0035271996166557074,0.0007784029776245587,32,0.0
AES-256-GCM,Encryption,0.3228399786166847,0.4965487207984552,,32,16.0
AES-256-GCM,Decryption,0.3167600021697581,0.3754113201983273,,32,16.0
X25519,Key generation,0.1933499879669398,0.23791860067285597,0.10367618084798778,32,
X25519,Shared-secret computation,0.15999999595806003,0.18703699752222747,0.07771173971125024,32,
HKDF-SHA256,Key derivation,0.016600009985268116,0.016003998927772045,0.004677428337047565,32,
X25519 + HKDF-SHA256,Complete key establishment,0.6147999956738204,0.665037801489234,0.3608062432448614,32,
